time,date,ibilist,user,value
16:15:06,2021-06-03,666,6,90
16:15:07,2021-06-03,659,6,91
16:15:08,2021-06-03,659,6,91
16:15:09,2021-06-03,651,6,92
16:15:10,2021-06-03,644,6,93
16:15:11,2021-06-03,652,6,92
16:15:12,2021-06-03,653,6,91
16:15:13,2021-06-03,656,6,91
16:15:14,2021-06-03,655,6,91
16:15:15,2021-06-03,656,6,91
16:15:16,2021-06-03,673,6,89
16:15:17,2021-06-03,669,6,89
16:15:18,2021-06-03,686,6,87
16:15:19,2021-06-03,687,6,87
16:15:20,2021-06-03,686,6,87
16:15:21,2021-06-03,688,6,87
16:15:22,2021-06-03,685,6,87
16:15:23,2021-06-03,679,6,88
16:15:24,2021-06-03,684,6,87
16:15:25,2021-06-03,676,6,88
16:15:26,2021-06-03,676,6,88
16:15:27,2021-06-03,666,6,90
16:15:28,2021-06-03,667,6,89
16:15:29,2021-06-03,662,6,90
16:15:30,2021-06-03,665,6,90
16:15:31,2021-06-03,669,6,89
16:15:32,2021-06-03,670,6,89
16:15:33,2021-06-03,670,6,89
16:15:34,2021-06-03,675,6,88
16:15:35,2021-06-03,664,6,90
16:15:36,2021-06-03,657,6,91
16:15:37,2021-06-03,648,6,92
16:15:38,2021-06-03,652,6,92
16:15:39,2021-06-03,654,6,91
16:15:40,2021-06-03,654,6,91
16:15:41,2021-06-03,652,6,92
16:15:42,2021-06-03,647,6,92
16:15:43,2021-06-03,645,6,93
16:15:44,2021-06-03,649,6,92
16:15:45,2021-06-03,654,6,91
16:15:46,2021-06-03,658,6,91
16:15:47,2021-06-03,662,6,90
16:15:48,2021-06-03,652,6,92
16:15:49,2021-06-03,646,6,92
16:15:50,2021-06-03,649,6,92
16:15:51,2021-06-03,659,6,91
16:15:52,2021-06-03,664,6,90
16:15:53,2021-06-03,667,6,89
16:15:54,2021-06-03,676,6,88
16:15:55,2021-06-03,672,6,89
16:15:56,2021-06-03,668,6,89
16:15:57,2021-06-03,673,6,89
